序号,股票代码,股票名称,开盘价,收盘价,涨跌幅
120,cn_600905,三峡能源,7.6,7.07,-7.7
121,cn_002208,合肥城建,7.06,7.03,-0.85
122,cn_000705,浙江震元,6.97,6.94,-0.57
123,cn_002218,拓日新能,7.34,6.89,-4.97
124,cn_600707,彩虹股份,7.0,6.87,-2.28
125,cn_000875,吉电股份,7.38,6.86,-6.16
126,cn_300240,飞力达,6.53,6.84,4.91
127,cn_002206,海利得,7.16,6.68,-6.83
128,cn_600098,广州发展,6.83,6.55,-5.21
129,cn_600029,南方航空,6.32,6.44,0.94
130,cn_600019,宝钢股份,6.61,6.41,-4.47
131,cn_600874,创业环保,6.33,6.27,-0.63
132,cn_300184,力源信息,6.19,6.19,0.98
133,cn_002107,沃华医药,6.14,6.18,0.49
134,cn_600797,浙大网新,6.18,6.18,0.16
135,cn_601158,重庆水务,6.27,6.08,-2.56
136,cn_002116,中国海诚,6.08,6.03,-0.17
137,cn_000425,徐工机械,6.02,6.02,-0.5
138,cn_600012,皖通高速,5.87,5.81,-0.85
139,cn_002068,黑猫股份,5.92,5.78,-3.02
140,cn_600829,人民同泰,5.71,5.71,-1.21
141,cn_002081,金螳螂,5.65,5.62,-0.88
142,cn_600864,哈投股份,5.58,5.57,-0.18
143,cn_002177,御银股份,5.4,5.57,3.72
144,cn_600722,金牛化工,5.67,5.55,-2.29
145,cn_600692,亚通股份,5.5,5.45,-0.73
146,cn_600901,江苏租赁,5.38,5.41,0.19
147,cn_600678,四川金顶,5.36,5.31,-1.12
148,cn_002323,*ST雅博,4.95,5.2,5.05
149,cn_600769,祥龙电业,5.23,5.18,-0.77
150,cn_002492,恒基达鑫,5.15,5.12,-0.39
151,cn_002061,浙江交科,5.17,5.12,-0.97
152,cn_601390,中国中铁,5.16,5.11,-1.35
153,cn_002147,*ST新光,5.0,5.03,-1.37
154,cn_002109,兴化股份,5.17,5.0,-3.66
155,cn_601368,绿城水务,4.84,4.81,-0.41
156,cn_000736,中交地产,4.85,4.81,-0.82
157,cn_000601,韶能股份,4.9,4.76,-2.86
158,cn_002357,富临运业,4.74,4.69,-1.05
159,cn_601398,工商银行,4.64,4.66,0.22
160,cn_000759,中百集团,4.69,4.64,-1.28
161,cn_601668,中国建筑,4.66,4.6,-1.29
162,cn_000421,南京公用,4.42,4.48,1.36
163,cn_002162,悦心健康,4.41,4.33,-1.81
164,cn_002204,大连重工,4.18,4.26,0.95
165,cn_000564,*ST大集,4.11,4.19,1.45
166,cn_002225,濮耐股份,4.21,4.15,-1.19
167,cn_300117,嘉寓股份,4.32,4.14,-2.59
168,cn_600028,中国石化,4.13,4.09,-1.21
169,cn_601199,江南水务,3.92,4.08,3.55
170,cn_000757,浩物股份,4.1,4.06,-0.73
171,cn_300013,新宁物流,4.0,4.05,1.25
172,cn_002244,滨江集团,4.02,4.0,-0.74
173,cn_002264,新华都,3.96,3.92,-0.76
174,cn_002062,宏润建设,3.85,3.82,-0.52
175,cn_002102,ST冠福,3.86,3.8,-2.31
176,cn_601618,中国中冶,3.8,3.71,-3.13
177,cn_002285,世联行,3.63,3.59,-1.37
178,cn_002682,龙洲股份,3.36,3.35,-0.3
179,cn_601099,太平洋,3.17,3.16,-0.63
180,cn_600657,信达地产,3.15,3.15,0
181,cn_002418,康盛股份,3.17,3.12,-1.58
182,cn_000563,陕国投Ａ,3.08,3.08,-0.32
183,cn_600807,济南高新,3.12,3.08,-0.65
184,cn_002377,国创高新,3.1,3.06,0
185,cn_601988,中国银行,3.04,3.04,0
186,cn_000560,我爱我家,2.9,2.86,-1.38
187,cn_002314,南山控股,2.76,2.75,-0.36
188,cn_002542,中化岩土,2.66,2.69,1.13
189,cn_600665,天地源,2.66,2.64,-0.75
190,cn_601000,唐山港,2.63,2.61,-1.51
191,cn_600017,日照港,2.61,2.59,-0.77
192,cn_002118,紫鑫药业,2.55,2.56,0
193,cn_600106,重庆路桥,2.53,2.52,-0.4
194,cn_002325,洪涛股份,2.38,2.39,0
195,cn_000669,ST金鸿,2.19,2.24,1.82
196,cn_601975,招商南油,1.92,1.91,-0.52
197,cn_002076,ST雪莱,1.81,1.82,-2.15
198,cn_000046,泛海控股,1.74,1.74,-0.57
199,cn_000667,美好置业,1.57,1.56,-0.64
200,cn_600393,ST粤泰,1.31,1.31,0
